,HOUSE_TYPE,NEIGHBORHOOD,GROSS_AREA,NET_AREA,NUMBER_OF_ROOMS,AGE_OF_BUİLDİNG,FLOOR_LOCATION,TOTALNUMBER_OF_FLOORS,TYPE_OF_HEATING,NUMBER_OF_BATHROOMS,IS_THERE_BALCONY,IS_IT_FURNISHED,WHO_IS_AT_HOME,ON_BUILDINGS,NAME_OF_BUILDINGS,DUES,AVAILABLE_FOR_CREDIT,TITLE_DEED,WHO_IS_THE_SELLER,IS_IT_VIEWABLE,PRICE,NEW_IS_IT_TWOPLY
0,Daire,Marmara Mah.,130.0,120.0,3+1,5-10 arası,4,6,Doğalgaz (Kombi),1,Var,Hayır,Mülk Sahibi,Evet,Yeşil Akasya Evleri,255.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,3300000,Hayır
1,Daire,Cumhuriyet Mah.,125.0,110.0,2+1,0,6,20-25 arası,Doğalgaz (Kombi),1,Var,Hayır,Boş,Evet,Belirtilmemiş,255.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,1299900,Hayır
2,Daire,Yakuplu Mah.,150.0,140.0,3+1,0,2,6,Doğalgaz (Kombi),2,Var,Hayır,Boş,Hayır,Belirtilmemiş,80.0,Evet,Kat İrtifaklı,Emlak Ofisinden,Hayır,2118000,Hayır
3,Daire,Cumhuriyet Mah.,140.0,130.0,2+1,0,Giriş Katı,5,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,80.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,539000,Hayır
4,Daire,Yakuplu Mah.,240.0,220.0,HIGH_RARITY,0,4,4,Doğalgaz (Kombi),3,Var,Hayır,Boş,Hayır,Belirtilmemiş,80.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,2300000,Evet
5,Daire,Cumhuriyet Mah.,125.0,110.0,2+1,0,2,5,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,80.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,779900,Hayır
6,Daire,Adnan Kahveci Mah.,145.0,135.0,3+1,0,2,4,Doğalgaz (Kombi),2,Var,Hayır,Boş,Evet,Belirtilmemiş,255.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,2297000,Hayır
7,Daire,Cumhuriyet Mah.,110.0,100.0,2+1,0,2,5,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,80.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,639000,Hayır
8,Daire,Kavaklı Mh.,110.0,95.0,2+1,4,4,12,Merkezi,2,Var,Hayır,Boş,Evet,Belirtilmemiş,255.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,2039000,Hayır
9,Daire,Yakuplu Mah.,100.0,90.0,2+1,0,1,4,Doğalgaz (Kombi),1,Var,Hayır,Boş,Evet,Belirtilmemiş,255.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,1249999,Hayır
10,Daire,Cumhuriyet Mah.,130.0,115.0,2+1,0,Giriş Katı,5,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,80.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,570000,Hayır
11,Daire,Cumhuriyet Mah.,110.0,105.0,2+1,0,2,4,Doğalgaz (Kombi),2,Var,Hayır,Boş,Hayır,Belirtilmemiş,80.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,1349000,Hayır
12,Daire,Adnan Kahveci Mah.,120.0,110.0,3+1,0,2,6,Doğalgaz (Kombi),2,Var,Hayır,Boş,Evet,Belirtilmemiş,255.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,2550000,Hayır
13,Daire,Kavaklı Mh.,150.0,130.0,3+1,0,Giriş Katı,4,Doğalgaz (Kombi),1,Var,Hayır,Boş,Evet,Belirtilmemiş,255.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,1550000,Hayır
14,Daire,Kavaklı Mh.,180.0,165.0,3+1,0,3,3,Doğalgaz (Kombi),2,Var,Hayır,Boş,Evet,Belirtilmemiş,255.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,1700000,Hayır
15,Daire,Cumhuriyet Mah.,140.0,130.0,3+1,0,2,4,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,80.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,989900,Hayır
16,Daire,Cumhuriyet Mah.,90.0,85.0,2+1,0,Giriş Katı,5,Doğalgaz (Kombi),1,Yok,Hayır,Boş,Hayır,Belirtilmemiş,80.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,499000,Hayır
17,Daire,Cumhuriyet Mah.,200.0,180.0,3+2,0,4,5,Doğalgaz (Kombi),2,Var,Hayır,Boş,Hayır,Belirtilmemiş,80.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,1689999,Evet
18,Daire,Beylikdüzü OSB,120.0,105.0,2+1,0,2,4,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,80.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,725000,Hayır
19,Daire,Cumhuriyet Mah.,110.0,95.0,2+1,3,2,4,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,80.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,1163000,Hayır
20,Daire,Kavaklı Mh.,210.0,180.0,3+2,0,3,4,Doğalgaz (Kombi),2,Var,Hayır,Boş,Evet,Belirtilmemiş,255.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,2149999,Evet
21,Daire,Yakuplu Mah.,150.0,130.0,3+1,5-10 arası,Yüksek Giriş,5,Doğalgaz (Kombi),2,Var,Hayır,Boş,Hayır,Belirtilmemiş,80.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,1615000,Hayır
22,Daire,Cumhuriyet Mah.,135.0,120.0,2+1,0,Giriş Katı,5,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,80.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,649000,Hayır
23,Daire,Kavaklı Mh.,140.0,130.0,3+1,0,1,4,Doğalgaz (Kombi),2,Var,Hayır,Boş,Evet,Belirtilmemiş,255.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,2519000,Hayır
24,Daire,Adnan Kahveci Mah.,175.0,165.0,3+1,1,4,5,Doğalgaz (Kombi),2,Var,Hayır,Boş,Evet,Belirtilmemiş,255.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,2488000,Hayır
25,Daire,Marmara Mah.,230.0,200.0,3+2,0,3,4,Doğalgaz (Kombi),2,Var,Hayır,Boş,Evet,Belirtilmemiş,255.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,3599999,Evet
26,Daire,Beylikdüzü OSB,115.0,100.0,2+1,0,2,4,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,80.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,879000,Hayır
27,Daire,Adnan Kahveci Mah.,155.0,145.0,3+1,2,3,4,Doğalgaz (Kombi),2,Var,Hayır,Boş,Evet,Belirtilmemiş,255.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,2340000,Hayır
28,Daire,Kavaklı Mh.,110.0,95.0,2+1,0,1,4,Doğalgaz (Kombi),1,Var,Hayır,Boş,Evet,Belirtilmemiş,255.0,Hayır,Kat Mülkiyetli,Emlak Ofisinden,Evet,1700000,Hayır
29,Daire,Beylikdüzü OSB,150.0,135.0,3+1,5-10 arası,Giriş Katı,6,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,80.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,679900,Hayır
30,Daire,Kavaklı Mh.,100.0,90.0,2+1,5-10 arası,2,6,Doğalgaz (Kombi),1,Var,Hayır,Boş,Evet,Belirtilmemiş,255.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,1900000,Hayır
31,Daire,Yakuplu Mah.,185.0,170.0,3+1,0,Yüksek Giriş,4,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,80.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,1439999,Hayır
