,HOUSE_TYPE,NEIGHBORHOOD,GROSS_AREA,NET_AREA,NUMBER_OF_ROOMS,AGE_OF_BUİLDİNG,FLOOR_LOCATION,TOTALNUMBER_OF_FLOORS,TYPE_OF_HEATING,NUMBER_OF_BATHROOMS,IS_THERE_BALCONY,IS_IT_FURNISHED,WHO_IS_AT_HOME,ON_BUILDINGS,NAME_OF_BUILDINGS,DUES,AVAILABLE_FOR_CREDIT,TITLE_DEED,WHO_IS_THE_SELLER,IS_IT_VIEWABLE,PRICE
0,Daire,Marmara Mah.,130,120,3+1,5-10 arası,4,6,Doğalgaz (Kombi),1,Var,Hayır,Kiracılı,Evet,Yeşil Akasya Evleri,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,"3.300.000 TL
Kredi Teklifleri"
1,Daire,Cumhuriyet Mah.,125,110,2+1,0,6,25,Doğalgaz (Kombi),1,Var,Hayır,Boş,Evet,Belirtilmemiş,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,"1.299.900 TL
Kredi Teklifleri"
2,Daire,Yakuplu Mah.,150,140,3+1,0,2,6,Doğalgaz (Kombi),2,Var,Hayır,Boş,Hayır,Belirtilmemiş,150,Evet,Kat İrtifaklı,Emlak Ofisinden,Hayır,"2.118.000 TL
Kredi Teklifleri"
3,Daire,Cumhuriyet Mah.,140,130,2+1,0,Bahçe Katı,5,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,"539.000 TL
Kredi Teklifleri"
4,Daire,Cumhuriyet Mah.,140,130,2+1,0,Bahçe Katı,5,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,"539.000 TL
Kredi Teklifleri"
5,Daire,Yakuplu Mah.,240,220,5+2,0,4,4,Doğalgaz (Kombi),3,Var,Hayır,Boş,Hayır,Belirtilmemiş,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,"2.300.000 TL
Kredi Teklifleri"
6,Daire,Cumhuriyet Mah.,125,110,2+1,0,2,5,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,"779.900 TL
Kredi Teklifleri"
7,Daire,Adnan Kahveci Mah.,145,135,3+1,0,2,4,Doğalgaz (Kombi),2,Var,Hayır,Boş,Evet,Belirtilmemiş,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,"2.297.000 TL
Kredi Teklifleri"
8,Daire,Adnan Kahveci Mah.,145,135,3+1,0,2,4,Doğalgaz (Kombi),2,Var,Hayır,Boş,Evet,Belirtilmemiş,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,"2.297.000 TL
Kredi Teklifleri"
9,Daire,Cumhuriyet Mah.,110,100,2+1,0,2,5,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,"639.000 TL
Kredi Teklifleri"
10,Daire,Kavaklı Mh.,110,95,2+1,4,4,12,Merkezi,2,Var,Hayır,Boş,Evet,Belirtilmemiş,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,"2.039.000 TL
Kredi Teklifleri"
11,Daire,Yakuplu Mah.,100,90,2+1,0,1,4,Doğalgaz (Kombi),1,Var,Hayır,Boş,Evet,Belirtilmemiş,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,"1.249.999 TL
Kredi Teklifleri"
12,Daire,Cumhuriyet Mah.,110,100,2+1,1,2,5,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,50,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,"785.000 TL
Kredi Teklifleri"
13,Daire,Cumhuriyet Mah.,130,115,2+1,0,Bahçe Katı,5,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,"570.000 TL
Kredi Teklifleri"
14,Daire,Cumhuriyet Mah.,110,105,2+1,0,2,4,Doğalgaz (Kombi),2,Var,Hayır,Boş,Hayır,Belirtilmemiş,150,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,"1.349.000 TL
Kredi Teklifleri"
15,Daire,Adnan Kahveci Mah.,120,110,3+1,0,2,6,Doğalgaz (Kombi),2,Var,Hayır,Boş,Evet,Belirtilmemiş,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,"2.550.000 TL
Kredi Teklifleri"
16,Daire,Kavaklı Mh.,150,130,3+1,0,Bahçe Katı,4,Doğalgaz (Kombi),1,Var,Hayır,Boş,Evet,Belirtilmemiş,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,"1.550.000 TL
Kredi Teklifleri"
17,Daire,Kavaklı Mh.,180,165,3+1,0,3,3,Doğalgaz (Kombi),2,Var,Hayır,Boş,Evet,Belirtilmemiş,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,"1.700.000 TL
Kredi Teklifleri"
18,Daire,Cumhuriyet Mah.,140,130,3+1,0,2,4,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,"989.900 TL
Kredi Teklifleri"
19,Daire,Cumhuriyet Mah.,90,85,2+1,0,Bahçe Katı,5,Doğalgaz (Kombi),1,Yok,Hayır,Boş,Hayır,Belirtilmemiş,60,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,"499.000 TL
Kredi Teklifleri"
20,Daire,Cumhuriyet Mah.,200,180,3+2,0,4,5,Doğalgaz (Kombi),2,Var,Hayır,Boş,Hayır,Belirtilmemiş,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,"1.689.999 TL
Kredi Teklifleri"
21,Daire,Beylikdüzü OSB,120,105,2+1,0,2,4,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,"725.000 TL
Kredi Teklifleri"
22,Daire,Cumhuriyet Mah.,110,95,2+1,3,2,4,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,"1.163.000 TL
Kredi Teklifleri"
23,Daire,Kavaklı Mh.,210,180,3+2,0,3,4,Doğalgaz (Kombi),2,Var,Hayır,Boş,Evet,Belirtilmemiş,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,"2.149.999 TL
Kredi Teklifleri"
24,Daire,Yakuplu Mah.,150,130,3+1,5-10 arası,Yüksek Giriş,5,Doğalgaz (Kombi),2,Var,Hayır,Boş,Hayır,Belirtilmemiş,150,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,"1.615.000 TL
Kredi Teklifleri"
25,Daire,Cumhuriyet Mah.,135,120,2+1,0,Giriş Katı,5,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,35,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,"649.000 TL
Kredi Teklifleri"
26,Daire,Kavaklı Mh.,140,130,3+1,0,1,4,Doğalgaz (Kombi),2,Var,Hayır,Boş,Evet,Belirtilmemiş,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,"2.519.000 TL
Kredi Teklifleri"
27,Daire,Adnan Kahveci Mah.,175,165,3+1,1,4,5,Doğalgaz (Kombi),2,Var,Hayır,Boş,Evet,Belirtilmemiş,200,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,"2.488.000 TL
Kredi Teklifleri"
28,Daire,Marmara Mah.,230,200,3+2,0,3,4,Doğalgaz (Kombi),2,Var,Hayır,Boş,Evet,Belirtilmemiş,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,"3.599.999 TL
Kredi Teklifleri"
29,Daire,Beylikdüzü OSB,115,100,2+1,0,2,4,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,"879.000 TL
Kredi Teklifleri"
30,Daire,Adnan Kahveci Mah.,155,145,3+1,2,3,4,Doğalgaz (Kombi),2,Var,Hayır,Boş,Evet,Belirtilmemiş,200,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,"2.340.000 TL
Kredi Teklifleri"
31,Daire,Cumhuriyet Mah.,115,100,2+1,0,Bahçe Katı,4,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,"559.900 TL
Kredi Teklifleri"
